customer_name_client,account,order_date_utc,region_territory,gross_revenue,unit_cost,profit_margin,active_subscription,customer_notes_log
Dunder Mifflin,00115,2024-01-07,APAC,18744.44,17001.21,0.09300000000000001,True,Standard order
Umbrella Corp,00239,2024-05-09,North America,42312.76,21791.07,0.485,True,Fast shipping requested
Cyberdyne Systems,00349,2024-03-12,EMEA,16540.88,12868.8,0.222,True,Fast shipping requested
Soylent Corp,00550,2024-02-01,LATAM,6370.61,4210.97,0.33899999999999997,True,Fast shipping requested
Umbrella Corp,00792,2024-03-15,North America,64221.17,55808.2,0.131,True,Fast shipping requested
Dunder Mifflin,00664,2024-01-19,EMEA,40293.42,25384.85,0.37,False,
Pied Piper,00795,2024-01-15,EMEA,61724.29,41108.38,0.33399999999999996,False,Fast shipping requested
Soylent Corp,00406,2024-06-13,LATAM,11143.93,7332.71,0.342,True,Customer asked for $50 discount
Umbrella Corp,00142,2024-05-10,LATAM,7272.75,4436.38,0.39,True,VIP client priority support
Hooli Inc,00480,2024-05-15,APAC,72845.34,41886.07,0.425,False,Standard order
Wayne Enterprises,00446,2024-02-10,LATAM,741.78,665.38,0.10300000000000001,False,Quarterly renewal
Stark Industries,00781,2024-02-11,North America,-45121.37,37450.74,-0.17,False,Account upgrade pending
Globex Inc,00088,2024-05-04,North America,73359.84,49517.89,0.325,True,Quarterly renewal
Massive Dynamic,00774,2024-06-25,EMEA,53614.7,37047.76,0.309,False,Standard order
Stark Industries,00022,2024-05-30,EMEA,-44338.79,40614.33,-0.084,True,
Stark Industries,00073,2024-05-11,EMEA,21246.56,14107.72,0.336,True,
Cyberdyne Systems,00195,2024-01-25,North America,49594.21,30401.25,0.387,False,Standard order
Cyberdyne Systems,00746,2024-03-27,North America,19024.9,13678.9,0.281,False,VIP client priority support
Pied Piper,00883,2024-05-20,North America,4268.83,2245.4,0.474,True,VIP client priority support
Umbrella Corp,00886,2024-04-12,North America,12765.47,9216.67,0.278,True,Quarterly renewal
