customer_name_client,account,order_date_utc,region_territory,gross_revenue,unit_cost,profit_margin,active_subscription,customer_notes_log,gross_revenue_original_currency,unit_cost_original_currency
Acme Corp,00124,2024-03-04,APAC,149670.67,84078.93,0.33299999999999996,False,,INR,INR
Wayne Enterprises,00235,2024-01-21,LATAM,1145009.03,716042.38,0.098,True,Account upgrade pending,USD,USD
Massive Dynamic,00280,2024-12-14,Europe,604488.0,398041.04,0.22,True,Standard order,GBP,GBP
Acme Corp,00243,2024-02-22,Europe,3978632.68,2725315.35,0.175,False,Fast shipping requested,EUR,EUR
Massive Dynamic,00660,2024-03-20,North America,4572607.29,3940925.34,0.065,True,Fast shipping requested,USD,USD
Soylent Corp,00945,2024-04-23,India,117418.7,76087.98,0.17300000000000001,False,,INR,INR
Hooli Inc,00234,2024-02-28,North America,-5288979.86,3735073.68,-0.518,False,Customer asked for 50 discount,USD,USD
Globex Inc,00891,2024-05-16,APAC,88342.99,58182.26,0.389,False,VIP client priority support,INR,INR
Globex Inc,00944,2024-11-22,APAC,191815.15,143778.93,0.05,True,Fast shipping requested,INR,INR
Hooli Inc,00909,2024-04-22,Europe,5917370.2,3442086.04,0.40700000000000003,True,,EUR,EUR
Globex Inc,00179,2024-12-09,EMEA,2968151.42,2370140.92,0.262,True,Account upgrade pending,GBP,GBP
Dunder Mifflin,00612,2024-10-20,India,-19424.07,11167.64,-0.292,True,,INR,INR
Soylent Corp,00562,2024-04-28,North America,4401745.09,2997984.58,0.075,False,Fast shipping requested,USD,USD
Dunder Mifflin,00422,2024-02-23,USA,943368.85,582898.38,0.085,False,Fast shipping requested,USD,USD
Dunder Mifflin,00677,2024-03-04,India,-57368.09,40065.01,-0.513,True,,INR,INR
Pied Piper,00443,2024-03-28,USA,3869773.4,2904699.23,0.325,False,VIP client priority support,USD,USD
Dunder Mifflin,00993,2024-03-15,India,103925.01,93365.25,0.069,False,,INR,INR
Hooli Inc,00967,2024-11-19,EMEA,988929.27,780102.52,,True,,GBP,GBP
Soylent Corp,00528,2024-06-17,EMEA,3257469.49,2446329.47,0.429,False,,GBP,GBP
Pied Piper,00964,2024-02-16,USA,4957923.89,3012016.32,0.21100000000000002,True,,USD,USD
