 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue , Unit Cost , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Acme Corp,00124,25/03/2024,APAC,"₹ 1,49,670.67","₹ 84,078.93",33.3%,false,Standard order,
Wayne Enterprises,00235,03/25/2024,USA,"($ 12,865.27)","$ 8,045.42",(9.8%),true,Account upgrade pending,
Massive Dynamic,00280,14.12.2024,Europe,"£ 5,306.25","£ 3,494.04",22.0%,Y,VIP client priority support,
Acme Corp,00243,22.02.2024,Europe,"€ 41.392,35","€ 28.353,26",17.5%,false,Fast shipping requested,
Soylent Corp,00945,05/09/2024,India,"₹ 1,17,418.70","₹ 76,087.98",17.3%,No,N/A,
Hooli Inc,00234,05/09/2024,North America,"$ 59,426.74","$ 41,967.12",51.8%,Yes,Quarterly renewal,
Pied Piper,00058,15-Mar-2024,APAC,"Rs. 45,000.00","Rs. 38,250.00",(15.0%),Y,Customer asked for discount,
Dunder Mifflin,00612,01/02/2024,India,"(₹ 19,424.07)","₹ 11,167.64",(29.2%),true,-,
Cyberdyne Systems,00892,01/02/2024,USA,49457.81,33685.22,7.5%,N,null,
Stark Industries,00007,2024-06-15,EMEA,"€ 1.250,50","€ 850,00",32.0%,Yes,Standard order,
Globex Inc,00944,22-11-2024,APAC,"₹ 1,91,815.15","₹ 1,43,778.93",-,Y,Fast shipping requested,
Initech LLC,00042,18/04/2024,LATAM,"($ 15,200.00)","$ 11,400.00",25.0%,false,Quarterly renewal,
Wayne Enterprises,00030,04/09/2024,USA,"$ 11,238.22","$ 7,866.75",34.5%,false,-,
Wayne Enterprises,00609,01/02/2024,LATAM,"$ 4,775.39","$ 3,342.77",14.3%,No,Standard order,
Stark Industries,00208,12/21/2024,USA,"$ 27,292.58","$ 19,104.81",13.8%,No,,
Acme Corp,00782,06/12/2024,Europe,"€ 87,409.81","$ 61,186.87",16.1%,Yes,,
Wayne Enterprises,00099,06/04/2024,LATAM,"$ 42,389.97","$ 29,672.98",29.1%,Y,N/A,
Stark Industries,00132,09/03/2024,LATAM,"$ 14,729.60","$ 10,310.72",30.1%,true,-,
