 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue ($) , Unit Cost ($) , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Dunder Mifflin,00115,2024-01-07,APAC,"18,744.44","$17,001.21",9.3%,Y,Standard order,
Umbrella Corp,00239,2024-05-09,North America,"£42,312.76","$21,791.07",48.5%,Yes,Fast shipping requested,
Cyberdyne Systems,00349,2024-03-12,EMEA,"$16,540.88","$12,868.80",22.2%,Y,Fast shipping requested,
Soylent Corp,00550,2024-02-01,LATAM,"6,370.61","$4,210.97",33.9%,Y,Fast shipping requested,
Umbrella Corp,00792,2024-03-15,North America,"64,221.17","$55,808.20",13.1%,true,Fast shipping requested,
Dunder Mifflin,00664,2024-01-19,EMEA,"40,293.42","$25,384.85",37.0%,false,,
Pied Piper,00795,2024-01-15,EMEA,"61,724.29","$41,108.38",33.4%,No,Fast shipping requested,
Soylent Corp,00406,2024-06-13,LATAM,"$11,143.93","$7,332.71",34.2%,Y,Customer asked for $50 discount,
Umbrella Corp,00142,2024-05-10,LATAM,"$7,272.75","$4,436.38",39.0%,Y,VIP client priority support,
Hooli Inc,00480,2024-05-15,APAC,"72,845.34","$41,886.07",42.5%,false,Standard order,
Wayne Enterprises,00446,2024-02-10,LATAM,$741.78,$665.38,10.3%,No,Quarterly renewal,
Stark Industries,00781,2024-02-11,North America,"(€45,121.37)","$37,450.74",(17.0%),No,Account upgrade pending,
Globex Inc,00088,2024-05-04,North America,"£73,359.84","$49,517.89",32.5%,Y,Quarterly renewal,
Massive Dynamic,00774,2024-06-25,EMEA,"€53,614.70","$37,047.76",30.9%,No,Standard order,
Stark Industries,00022,2024-05-30,EMEA,"(44,338.79)","$40,614.33",(8.4%),Y,,
Stark Industries,00073,2024-05-11,EMEA,"21,246.56","$14,107.72",33.6%,Yes,,
Cyberdyne Systems,00195,2024-01-25,North America,"$49,594.21","$30,401.25",38.7%,N,Standard order,
Cyberdyne Systems,00746,2024-03-27,North America,"$19,024.90","$13,678.90",28.1%,N,VIP client priority support,
Pied Piper,00883,2024-05-20,North America,"4,268.83","$2,245.40",47.4%,Yes,VIP client priority support,
Umbrella Corp,00886,2024-04-12,North America,"$12,765.47","$9,216.67",27.8%,Yes,Quarterly renewal,
Umbrella Corp,00304,2024-02-25,North America,"(43,648.93)","$28,721.00",(34.2%),Yes,Standard order,
Massive Dynamic,00083,2024-02-17,North America,"$44,830.12","$29,632.71",-,Y,Fast shipping requested,
Hooli Inc,00579,2024-05-13,APAC,"$70,135.62","$62,070.02",11.5%,Yes,Customer asked for $50 discount,
Pied Piper,00959,2024-01-19,North America,"£34,642.27","$28,302.73",18.3%,N,Quarterly renewal,
Stark Industries,00292,2024-02-10,LATAM,"$62,614.00","$59,232.84",5.4%,true,Fast shipping requested,
Globex Inc,00962,2024-02-04,APAC,"$9,099.44","$7,689.03",15.5%,true,Account upgrade pending,
Soylent Corp,00258,2024-01-14,North America,"(47,754.19)","$30,132.89",(36.9%),true,Quarterly renewal,
Vandelay Industries,00453,2024-05-21,LATAM,"(42,287.56)","$28,628.68",(32.3%),false,Account upgrade pending,
Massive Dynamic,00152,2024-04-20,EMEA,"3,616.25","$1,811.74",49.9%,No,Fast shipping requested,
Globex Inc,00363,2024-05-23,LATAM,"$73,050.86","$40,177.97",45.0%,Y,Standard order,
Initech LLC,00755,2024-03-26,LATAM,"$60,266.52","$30,976.99",48.6%,No,Quarterly renewal,
Wonka Industries,00941,2024-04-27,APAC,"$23,236.72","$18,844.98",18.9%,true,Customer asked for $50 discount,
Dunder Mifflin,00522,2024-04-12,APAC,"$70,473.17","$32,276.71",,Y,Customer asked for $50 discount,
Vandelay Industries,00806,2024-03-21,LATAM,"£45,662.56","$42,374.86",7.2%,No,Customer asked for $50 discount,
Cyberdyne Systems,00072,2024-06-19,APAC,"$46,925.08","$35,006.11",25.4%,true,Account upgrade pending,
Initech LLC,00197,2024-04-17,LATAM,"$50,960.19","$48,412.18",5.0%,Y,,
Hooli Inc,00622,2024-06-16,APAC,"€35,141.62","$16,516.56",53.0%,N,Customer asked for $50 discount,
Massive Dynamic,00680,2024-06-11,APAC,"$7,457.35","$6,994.99",6.2%,Yes,Account upgrade pending,
Wonka Industries,00787,2024-01-19,LATAM,"£31,375.86","$25,979.21",17.2%,Y,,
Wonka Industries,00789,2024-01-28,LATAM,"16,803.66","$14,938.45",11.1%,Yes,Fast shipping requested,
Massive Dynamic,00573,2024-06-01,APAC,"€71,277.95","$38,133.70",46.5%,Yes,Fast shipping requested,
Wonka Industries,00487,2024-04-25,APAC,"$56,507.37","$45,940.49",18.7%,true,Quarterly renewal,
Wayne Enterprises,00344,2024-03-22,North America,"$10,808.87","$8,030.99",25.7%,Yes,VIP client priority support,
Acme Corp,00212,2024-04-17,LATAM,,-,N/A,true,,
Cyberdyne Systems,00874,2024-04-17,EMEA,—,-,38.4%,Yes,,
Soylent Corp,00942,2024-02-02,North America,#VALUE!,-,26.4%,Yes,Standard order,
Wayne Enterprises,00389,2024-03-24,EMEA,"$34,375.10","$18,356.30",46.6%,N,VIP client priority support,
Acme Corp,00768,2024-05-18,North America,"74,993.13","$69,743.61",-,No,,
Acme Corp,00637,2024-02-09,EMEA,"$9,903.46","$5,615.26",43.3%,N,,
Wonka Industries,00168,2024-03-20,North America,"$43,612.01","$20,890.15",52.1%,No,Standard order,
Vandelay Industries,00792,2024-03-18,North America,"£59,818.93","$45,761.48",23.5%,false,Standard order,
Wonka Industries,00431,2024-05-05,North America,"$32,797.49","$24,007.76",26.8%,true,Account upgrade pending,
Pied Piper,00942,2024-05-17,LATAM,"35,133.10","$31,865.72",9.3%,No,,
Soylent Corp,00584,2024-06-05,LATAM,"€25,561.55","$14,084.41",44.9%,true,Account upgrade pending,
Acme Corp,00530,2024-02-18,North America,"€18,481.03","$11,587.61",37.3%,Y,Standard order,
Wayne Enterprises,00227,2024-04-13,EMEA,"£23,312.35","$10,537.18",54.8%,false,Fast shipping requested,
Soylent Corp,00278,2024-03-19,APAC,"17,675.08","$10,693.42",39.5%,Yes,Customer asked for $50 discount,
Vandelay Industries,00604,2024-05-14,APAC,"$73,548.04","$43,834.63",40.4%,Y,Standard order,
Massive Dynamic,00300,2024-06-27,EMEA,—,-,28.5%,Yes,Standard order,
Wayne Enterprises,00964,2024-05-02,North America,"€61,747.62","$53,967.42",12.6%,true,Standard order,
Umbrella Corp,00122,2024-05-22,LATAM,"£45,670.67","$33,293.92",27.1%,Y,Customer asked for $50 discount,
Hooli Inc,00636,2024-01-16,North America,"$71,095.47","$59,009.24",17.0%,Yes,Standard order,
Cyberdyne Systems,00462,2024-06-25,LATAM,"22,198.82","$20,289.72",8.6%,true,,
Pied Piper,00641,2024-05-30,EMEA,"£32,172.85","$28,279.94",12.1%,true,Account upgrade pending,
Vandelay Industries,00845,2024-05-25,APAC,"33,216.93","$23,251.85",30.0%,N,Account upgrade pending,
Acme Corp,00911,2024-04-20,APAC,"45,476.67","$30,105.56",33.8%,true,Account upgrade pending,
Acme Corp,00782,2024-02-14,LATAM,"€39,162.81","$24,790.06",36.7%,N,VIP client priority support,
Stark Industries,00419,2024-03-26,APAC,"$50,424.95","$24,052.70",52.3%,Y,VIP client priority support,
Globex Inc,00323,2024-03-05,APAC,"€9,136.16","$4,705.12",48.5%,Y,Quarterly renewal,
Massive Dynamic,00371,2024-06-08,LATAM,"47,092.95","$34,424.95",26.9%,N,Standard order,
Dunder Mifflin,00624,2024-03-02,EMEA,"23,650.89","$11,683.54",50.6%,N,Fast shipping requested,
Wonka Industries,00158,2024-05-07,APAC,"$38,410.97","$27,732.72",27.8%,No,Account upgrade pending,
Massive Dynamic,00765,2024-02-04,North America,"€21,080.43","$20,005.33",5.1%,Yes,,
Initech LLC,00458,2024-05-17,LATAM,"26,211.73","$13,499.04",48.5%,No,Account upgrade pending,
Cyberdyne Systems,00240,2024-04-15,North America,"€24,204.14","$14,958.16",38.2%,Yes,VIP client priority support,
Acme Corp,00130,2024-05-08,APAC,"€65,292.67","$57,326.96",12.2%,Yes,Standard order,
Soylent Corp,00801,2024-03-08,APAC,"46,932.83","$24,405.07",48.0%,false,Fast shipping requested,
Vandelay Industries,00909,2024-05-04,North America,"46,500.73","$26,830.92",42.3%,N,,
Dunder Mifflin,00721,2024-01-26,LATAM,"$12,894.18","$10,354.03",19.7%,Yes,Quarterly renewal,
Massive Dynamic,00422,2024-05-24,EMEA,"$13,163.78","$9,227.81",29.9%,No,VIP client priority support,
Dunder Mifflin,00261,2024-04-27,APAC,"€50,179.63","$36,580.95",27.1%,true,Fast shipping requested,
Cyberdyne Systems,00707,2024-03-05,LATAM,"$63,475.14","$48,177.63",24.1%,true,Fast shipping requested,
Wayne Enterprises,00023,2024-06-17,LATAM,"20,948.79","$10,369.65",50.5%,true,,
