 Customer Name / Client , Account # , Order Date (UTC) , Region / Territory , Gross Revenue ($) , Unit Cost ($) , Profit Margin % , Active Subscription? , Customer Notes / Log , Blank Column (Notes) 
Acme Corp,00124,04/03/2024,APAC,"₹149,670.67","₹84,078.93",33.3%,false,-,
Wayne Enterprises,00235,21/01/2024,LATAM,"$12,865.27","$8,045.42",9.8%,true,Account upgrade pending,
Massive Dynamic,00280,14.12.2024,Europe,"£5,306.25","£3,494.04",22.0%,Y,Standard order,
Acme Corp,00243,22.02.2024,Europe,"€41,392.35","€28,353.26",17.5%,false,Fast shipping requested,
Massive Dynamic,00660,03/20/2024,North America,"$51,377.61","$44,280.06",6.5%,true,Fast shipping requested,
Soylent Corp,00945,23.04.2024,India,"₹117,418.70","₹76,087.98",17.3%,No,,
Hooli Inc,00234,02/28/2024,North America,"($59,426.74)","$41,967.12",(51.8%),No,Customer asked for 50 discount,
Globex Inc,00891,2024-05-16,APAC,"₹88,342.99","₹58,182.26",38.9%,No,VIP client priority support,
Globex Inc,00944,22-11-2024,APAC,"₹191,815.15","₹143,778.93",5.0%,Y,Fast shipping requested,
Hooli Inc,00909,2024-04-22,Europe,"€61,562.32","€35,810.30",40.7%,Yes,N/A,
Globex Inc,00179,09.12.2024,EMEA,"£26,054.70","£20,805.31",26.2%,Y,Account upgrade pending,
Dunder Mifflin,00612,20.10.2024,India,"(₹19,424.07)","₹11,167.64",(29.2%),true,N/A,
Soylent Corp,00562,04/28/2024,North America,"49,457.81","$33,685.22",7.5%,false,Fast shipping requested,
Dunder Mifflin,00422,02-23-2024,USA,"10,599.65","$6,549.42",8.5%,No,Fast shipping requested,
Dunder Mifflin,00677,04-03-2024,India,"(₹57,368.09)","₹40,065.01",(51.3%),true,N/A,
Pied Piper,00443,03/28/2024,USA,"$43,480.60","$32,637.07",32.5%,No,VIP client priority support,
Dunder Mifflin,00993,15/03/2024,India,"₹103,925.01","₹93,365.25",6.9%,false,-,
Hooli Inc,00967,19.11.2024,EMEA,"£8,680.91","£6,847.81",-,Y,-,
Soylent Corp,00528,17/06/2024,EMEA,"£28,594.36","£21,474.10",42.9%,false,-,
Pied Piper,00964,2024-02-16,USA,"$55,707.01","$33,842.88",21.1%,true,-,
Stark Industries,00267,2024-07-14,Europe,"£3,056.82","£2,058.51",12.6%,false,,
Globex Inc,00019,15-12-2024,APAC,"₹147,714.84","₹89,337.15",47.3%,Y,Account upgrade pending,
Soylent Corp,00708,06/16/24,North America,"$56,235.87","$50,192.35",42.6%,N,Standard order,
Cyberdyne Systems,00764,26-11-2024,EMEA,"€7,204.60","€6,287.47",43.4%,true,Quarterly renewal,
Soylent Corp,00034,2024-05-19,USA,"$72,519.99","$47,375.59",51.1%,Y,Fast shipping requested,
Pied Piper,00192,02-10-2024,India,"111,916.50","₹102,310.40",13.9%,N,Standard order,
Globex Inc,00957,2024-02-19,Europe,"€59,865.95","€46,729.42",47.3%,false,,
Hooli Inc,00422,04-03-2024,USA,"$50,831.11","$44,936.64",N/A,Yes,,
Massive Dynamic,00631,08-08-2024,USA,"$59,550.78","$53,901.66",18.3%,No,Account upgrade pending,
Umbrella Corp,00848,2024-04-20,Europe,"£9,748.54","£5,528.39",41.1%,false,Quarterly renewal,
Initech LLC,00723,28/07/2024,LATAM,$746.74,$606.98,10.0%,Yes,-,
Stark Industries,00061,2024-03-20,India,"168,556.54","₹154,316.92",46.9%,false,-,
Wayne Enterprises,00860,12/08/2024,India,"₹210,766.41","₹137,547.26",16.2%,false,Customer asked for 50 discount,
Soylent Corp,00288,23.09.2024,EMEA,"(€45,167.95)","€36,648.15",(30.5%),N,Standard order,
Soylent Corp,00862,25/10/2024,LATAM,"($34,568.96)","$23,615.21",(21.5%),N,,
Globex Inc,00775,05/04/2024,USA,"$29,225.40","$23,306.77",44.5%,No,-,
